District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
11. Carabanchel;     115. Puerta Bonita;1.664;2.106;2.491;2.771;3.150;3.263;3.193;2.793;2.545;2.359;2.029;1.681;1.603;1.420;1.377;1.510;1.651;1.854
11. Carabanchel;     116. Buenavista;1.606;2.127;2.728;2.840;3.339;3.532;3.368;3.161;2.612;2.385;2.043;1.956;1.741;1.438;1.359;1.480;1.643;1.888
11. Carabanchel;     116. Buenavista (PAU de Carabanchel);-;-;-;-;-;-;-;-;3.420;3.457;3.160;2.725;2.879;2.645;2.576;2.622;2.801;3.085
11. Carabanchel;     117. Abrantes;1.719;2.150;2.703;2.858;3.171;3.243;3.311;2.910;2.760;2.439;2.169;1.718;1.647;1.359;1.421;1.466;1.644;1.896
12. Usera;12. Usera;;;;;;;;;;;;;;;;;;
12. Usera;     12. Usera;1.639;2.173;2.592;2.756;3.105;3.311;3.202;2.844;2.566;2.401;2.076;1.806;1.678;1.470;1.494;1.503;1.710;2.008
12. Usera;     121. Orcasitas;1.298;-;2.313;2.466;2.982;3.225;3.076;2.701;2.457;2.204;1.956;1.674;1.577;1.518;1.431;1.415;1.702;-
12. Usera;     122. Orcasur;1.745;2.257;2.656;-;-;-;3.228;2.802;2.537;2.273;2.215;1.792;1.775;1.536;1.468;1.421;-;-
12. Usera;     123. San Fermín;1.576;2.162;2.492;2.617;2.921;3.102;3.086;2.817;2.729;2.593;2.166;1.904;1.744;1.568;1.656;1.459;1.714;1.815
12. Usera;     124. Almendrales;1.696;2.176;2.699;2.791;3.177;3.381;3.212;2.962;2.636;2.572;2.092;1.875;1.731;1.452;1.512;1.642;1.829;2.012
12. Usera;     125. Moscardó;1.636;2.159;2.734;3.007;3.232;3.338;3.250;2.919;2.544;2.402;2.151;1.901;1.720;1.512;1.539;1.692;1.788;2.261
12. Usera;     126. Zofío;1.654;1.819;2.725;2.781;3.062;3.411;3.279;-;2.498;2.262;1.980;1.722;1.628;1.398;1.354;1.380;1.624;1.887
12. Usera;     127. Pradolongo;1.690;2.221;2.576;2.883;3.231;3.630;3.375;2.837;2.533;2.388;1.951;1.707;1.490;1.303;1.364;1.449;1.677;1.902
13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;;;;;;;
13. Puente de Vallecas;     13. Puente de Vallecas;1.637;2.118;2.599;2.799;3.187;3.356;3.241;2.792;2.519;2.304;1.937;1.679;1.618;1.396;1.366;1.394;1.583;1.821
13. Puente de Vallecas;     131. Entrevías;1.170;1.770;2.274;2.597;2.874;3.194;3.059;2.494;2.113;1.870;1.578;1.388;1.261;1.061;1.092;1.118;1.279;1.413
13. Puente de Vallecas;     132. San Diego;1.766;2.146;2.694;2.941;3.257;3.387;3.225;2.752;2.512;2.361;1.982;1.700;1.495;1.339;1.339;1.370;1.564;1.783
13. Puente de Vallecas;     133. Palomeras Bajas;1.699;2.100;2.507;2.778;3.243;3.560;3.232;2.804;2.628;2.329;2.027;1.759;1.646;1.416;1.402;1.469;1.565;1.853
13. Puente de Vallecas;     134. Palomeras Sureste;1.645;1.960;2.550;2.735;3.112;3.367;3.253;2.807;2.551;2.464;2.077;1.764;1.961;1.686;1.582;1.450;1.642;2.014
13. Puente de Vallecas;     135. Portazgo;1.513;1.595;2.275;2.645;3.138;3.293;3.273;2.770;2.507;2.133;1.861;1.603;1.482;1.245;1.239;1.316;1.535;1.712
13. Puente de Vallecas;     136. Numancia;1.901;2.242;2.725;3.040;3.270;3.490;3.303;2.942;2.596;2.413;1.991;1.751;1.707;1.406;1.460;1.503;1.783;1.921
14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;;;;
14. Moratalaz;     14. Moratalaz;1.953;2.476;2.859;3.134;3.324;3.626;3.458;3.092;2.878;2.753;2.457;2.153;2.038;1.952;1.927;2.039;2.269;2.568
14. Moratalaz;     141. Pavones;1.914;2.157;2.575;2.970;3.098;3.398;3.290;-;-;-;2.208;-;-;-;-;-;-;-
14. Moratalaz;     142. Horcajo;-;-;3.592;3.359;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14. Moratalaz;     143. Marroquina;2.187;2.710;3.293;3.327;3.506;3.938;3.745;3.539;3.250;-;2.774;2.314;2.398;2.196;2.187;2.398;-;2.794
14. Moratalaz;     144. Media Legua;1.975;2.563;2.908;3.295;3.682;3.613;3.558;3.131;3.165;2.852;2.509;2.150;2.131;1.882;1.936;2.133;-;-
14. Moratalaz;     145. Fontarrón;1.904;2.622;2.670;2.919;3.133;3.459;3.315;2.832;2.539;2.496;2.143;1.952;1.613;1.626;1.641;1.729;1.998;-
14. Moratalaz;     146. Vinateros;1.952;2.332;2.787;3.065;3.214;3.506;3.478;3.010;2.728;2.676;2.320;1.910;-;1.848;1.812;1.952;-;-
15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;;;;;;;
15. Ciudad Lineal;     15. Ciudad Lineal;2.435;3.014;3.541;3.581;3.962;4.083;3.948;3.814;3.674;3.475;3.292;2.918;2.631;2.464;2.455;2.523;2.724;3.000
15. Ciudad Lineal;     151. Ventas;1.947;2.557;3.059;3.162;3.514;3.712;3.691;3.226;2.986;2.780;2.477;2.176;2.049;1.729;1.826;1.929;2.277;2.582
15. Ciudad Lineal;     152. Pueblo Nuevo;2.026;2.476;2.987;3.117;3.395;3.568;3.568;3.114;2.890;2.692;2.390;2.037;2.025;1.731;1.733;1.839;2.228;2.418
15. Ciudad Lineal;     153. Quintana;2.344;2.488;3.371;3.403;3.894;4.033;3.861;3.322;3.204;2.980;2.666;2.244;2.246;2.071;2.103;2.174;2.478;2.933
15. Ciudad Lineal;     154. Concepción;2.477;3.451;3.939;3.727;3.792;4.110;3.975;3.716;3.496;3.434;3.187;2.960;2.570;2.472;2.313;2.464;2.448;3.142
15. Ciudad Lineal;     155. San Pascual;2.788;3.115;3.327;4.397;4.224;4.295;4.397;4.352;4.049;3.771;3.746;3.299;3.085;2.939;2.929;3.032;3.178;3.471
15. Ciudad Lineal;     156. San Juan Bautista;2.894;3.583;4.042;4.567;4.577;4.762;4.526;4.773;4.643;4.395;4.335;3.789;3.468;3.425;3.350;3.800;3.747;3.894
15. Ciudad Lineal;     157. Colina;2.761;3.545;4.165;4.079;4.523;4.605;4.612;-;4.146;4.248;4.039;3.723;3.259;3.253;3.138;3.158;-;-
15. Ciudad Lineal;     158. Atalaya;2.961;4.062;4.127;4.529;4.898;4.978;5.061;-;-;-;-;-;-;-;-;-;-;-
15. Ciudad Lineal;     159. Costillares;2.751;3.429;3.624;3.782;4.246;4.717;4.474;4.396;4.223;4.309;3.930;3.501;3.455;3.211;3.291;3.386;3.648;3.989
